Experiment #,Domain,EPS (Expansions per second),Subtree focus threshold ,Dispatch frontier size,Dispatch threshold ,Total number of problems solved by disp,Total number of problems solved by nodisp
1,RCLL (1 robot),10,1,10,0.25,3,0
2,RCLL (1 robot),25,1,10,0.25,15,0
3,RCLL (1 robot),50,1,10,0.25,30,3
4,RCLL (1 robot),100,1,10,0.25,59,14
5,RCLL (1 robot),200,1,10,0.25,68,29
6,RCLL (1 robot),300,1,10,0.25,68,51
7,RCLL (1 robot),500,1,10,0.25,82,70
8,RCLL (1 robot),1000,1,10,0.25,87,83
9,RCLL (1 robot),10,1,10,0.1,3,0
10,RCLL (1 robot),25,1,10,0.1,14,0
11,RCLL (1 robot),50,1,10,0.1,31,3
12,RCLL (1 robot),100,1,10,0.1,60,14
13,RCLL (1 robot),200,1,10,0.1,73,29
14,RCLL (1 robot),300,1,10,0.1,70,51
15,RCLL (1 robot),500,1,10,0.1,82,70
16,RCLL (1 robot),1000,1,10,0.1,89,83
17,RCLL (1 robot),10,1,10,0.025,3,0
18,RCLL (1 robot),25,1,10,0.025,10,0
19,RCLL (1 robot),50,1,10,0.025,32,3
20,RCLL (1 robot),100,1,10,0.025,58,14
21,RCLL (1 robot),200,1,10,0.025,75,29
22,RCLL (1 robot),300,1,10,0.025,65,51
23,RCLL (1 robot),500,1,10,0.025,79,70
24,RCLL (1 robot),1000,1,10,0.025,91,83
