Experiment #,Domain,EPS (Expansions per second),Subtree focus threshold ,Dispatch frontier size,Dispatch threshold ,Total number of problems solved by disp,Total number of problems solved by nodisp
1,RCLL (2 robots),10,1,10,0.25,3,0
2,RCLL (2 robots),25,1,10,0.25,11,0
3,RCLL (2 robots),50,1,10,0.25,24,1
4,RCLL (2 robots),100,1,10,0.25,27,4
5,RCLL (2 robots),200,1,10,0.25,24,12
6,RCLL (2 robots),300,1,10,0.25,26,23
7,RCLL (2 robots),500,1,10,0.25,29,39
8,RCLL (2 robots),1000,1,10,0.25,42,56
9,RCLL (2 robots),10,1,10,0.1,4,0
10,RCLL (2 robots),25,1,10,0.1,10,0
11,RCLL (2 robots),50,1,10,0.1,24,1
12,RCLL (2 robots),100,1,10,0.1,27,4
13,RCLL (2 robots),200,1,10,0.1,24,12
14,RCLL (2 robots),300,1,10,0.1,26,23
15,RCLL (2 robots),500,1,10,0.1,32,39
16,RCLL (2 robots),1000,1,10,0.1,41,56
18,RCLL (2 robots),10,1,10,0.025,4,0
19,RCLL (2 robots),25,1,10,0.025,10,0
20,RCLL (2 robots),50,1,10,0.025,21,1
21,RCLL (2 robots),100,1,10,0.025,27,4
22,RCLL (2 robots),200,1,10,0.025,26,12
23,RCLL (2 robots),300,1,10,0.025,28,23
24,RCLL (2 robots),500,1,10,0.025,28,39
25,RCLL (2 robots),1000,1,10,0.025,40,56
